team_id,team_name,conference_id,conference_name,school_url,school_athletic_url,state,division,year
30049,Central State University,913,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-II,2024-25
1010,Central Washington University,30012,Great Northwest Athletic Conference,cwu.edu,wildcatsports.com,WA,D-II,2024-25
132,Centre College,30169,Southern Athletic Association,www.centre.edu,www.centrecolonels.com,KY,D-III,2024-25
1012,Chadron State College,13128,Rocky Mountain Athletic Conference,www.csc.edu,www.chadroneagles.com,NE,D-II,2024-25
133,Chaminade University,19591,Pacific West Conference,www.chaminade.edu,goswords.com/,HI,D-II,2024-25
134,Chapman University,910,Southern California Intercollegiate Athletic Conf.,www.chapman.edu,www.chapmanathletics.com,CA,D-III,2024-25
1014,College of Charleston (South Carolina),837,Coastal Athletic Association,www.cofc.edu,www.cofcsports.com,SC,D-I,2024-25
1013,University of Charleston (West Virginia),30183,Mountain East Conference,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-II,2024-25
48,Charleston Southern University,826,Big South Conference,https://www.charlestonsouthern.edu/,csusports.com/,SC,D-I,2024-25
10972,Chatham University,907,Presidents' Athletic Conference,www.chatham.edu,www.gochathamcougars.com,PA,D-III,2024-25
21323,Chestnut Hill College,28752,Central Atlantic Collegiate Conference,www.chc.edu,www.griffinathletics.com,PA,D-II,2024-25
137,University of Chicago,1471,University Athletic Association,www.uchicago.edu,athletics.uchicago.edu/landing/index,IL,D-III,2024-25
136,Chicago State University,846,Northeast Conference,www.csu.edu,www.gocsucougars.com,IL,D-I,2024-25
8875,Chowan University,4423,Conference Carolinas,www.chowan.edu,www.gocuhawks.com,NC,D-II,2024-25
1015,Christian Brothers University,858,Gulf South Conference,www.cbu.edu,www.cbubucs.com,TN,D-II,2024-25
139,Christopher Newport University,15810,Coast-To-Coast Athletic Conference,www.cnu.edu,CNUsports.com,VA,D-III,2024-25
140,University of Cincinnati,25354,Big 12 Conference,uc.edu,gobearcats.com/,OH,D-I,2024-25
141,The Citadel,912,Southern Conference,www.citadel.edu,www.citadelsports.com,SC,D-I,2024-25
480,The City College of New York,834,City University of New York Athletic Conference,www.ccny.cuny.edu,www.ccnyathletics.com,NY,D-III,2024-25
30058,Claflin University,832,Central Intercollegiate Athletic Association,www.claflin.edu,athletics.claflin.edu,SC,D-II,2024-25
142,Claremont McKenna-Harvey Mudd-Scripps Colleges,910,Southern California Intercollegiate Athletic Conf.,www.claremontmckenna.edu,www.cmsathletics.org,CA,D-III,2024-25
143,"Pennsylvania Western University, Clarion",906,Pennsylvania State Athletic Conference,www.clarion.edu,www.clariongoldeneagles.com,PA,D-II,2024-25
144,Clark Atlanta University,913,Southern Intercol. Ath. Conf.,www.cau.edu,www.clarkatlantasports.com,GA,D-II,2024-25
145,Clark University (Massachusetts),890,New England Women's and Men's Athletic Conference,www.clarku.edu,clarkathletics.com,MA,D-III,2024-25
146,Clarkson University,24197,Liberty League,www.clarkson.edu,www.clarksonathletics.com,NY,D-III,2024-25
20576,Clayton State University,12923,Peach Belt Conference,www.clayton.edu,www.claytonstatesports.com,GA,D-II,2024-25
147,Clemson University,821,Atlantic Coast Conference,clemson.edu,clemsontigers.com,SC,D-I,2024-25
148,Cleveland State University,881,Horizon League,www.csuohio.edu,www.csuvikings.com,OH,D-I,2024-25
149,Coastal Carolina University,818,Sun Belt Conference,www.coastal.edu,www.goccusports.com,SC,D-I,2024-25
30083,State University of New York at Cobleskill,30026,North Atlantic Conference,www.cobleskill.edu/home.asp,fightingtigers.cobleskill.edu/,NY,D-III,2024-25
150,Coe College,864,American Rivers Conference,www.coe.edu,www.kohawkathletics.com,IA,D-III,2024-25
1023,Coker University,12850,South Atlantic Conference,www.coker.edu,www.cokercobras.com/,SC,D-II,2024-25
151,Colby College,12817,New England Small College Athletic Conference,www.colby.edu,www.colby.edu/athletics,ME,D-III,2024-25
152,Colby-Sawyer College,23257,Great Northeast Athletic Conference,www.colby-sawyer.edu,www.colby-sawyerathletics.com/,NH,D-III,2024-25
153,Colgate University,838,Patriot League,www.colgate.edu,gocolgateraiders.com,NY,D-I,2024-25
157,"University of Colorado, Boulder",25354,Big 12 Conference,www.colorado.edu/,www.cubuffs.com/,CO,D-I,2024-25
11403,Colorado Christian University,13128,Rocky Mountain Athletic Conference,www.ccu.edu,www.ccucougars.com,CO,D-II,2024-25
154,Colorado College,835,Southern Collegiate Athletic Conference,www.coloradocollege.edu/,www.cctigers.com,CO,D-III,2024-25
11416,Colorado Mesa University,13128,Rocky Mountain Athletic Conference,coloradomesa.edu,cmumavericks.com,CO,D-II,2024-25
155,Colorado School of Mines,13128,Rocky Mountain Athletic Conference,mines.edu,minesathletics.com,CO,D-II,2024-25
2720,Colorado State University Pueblo,13128,Rocky Mountain Athletic Conference,www.csupueblo.edu,www.gothunderwolves.com,CO,D-II,2024-25
156,Colorado State University,5486,Mountain West Conference,www.colostate.edu,www.csurams.com,CO,D-I,2024-25
9754,"University of Colorado, Colorado Springs",13128,Rocky Mountain Athletic Conference,www.uccs.edu,www.gomountainlions.com,CO,D-II,2024-25
158,Columbia University-Barnard College,865,The Ivy League,www.columbia.edu,www.gocolumbialions.com/,NY,D-I,2024-25
159,Columbus State University,12923,Peach Belt Conference,www.columbusstate.edu,csucougars.com,GA,D-II,2024-25
1028,Concord University,30183,Mountain East Conference,www.concord.edu,www.cumountainlions.com,WV,D-II,2024-25
161,"Concordia College, Moorhead",882,Minnesota Intercollegiate Athletic Conference,www.concordiacollege.edu,www.gocobbers.com,MN,D-III,2024-25
160,Concordia University Chicago,30097,Northern Athletics Collegiate Conference,www.cuchicago.edu,www.CUCougars.com,IL,D-III,2024-25
30199,Concordia University Irvine,19591,Pacific West Conference,www.cui.edu,www.cuigoldeneagles.com,CA,D-II,2024-25
24400,Concordia University Texas,835,Southern Collegiate Athletic Conference,www.concordia.edu/,athletics.concordia.edu/index.aspx,TX,D-III,2024-25
1036,Concordia University Wisconsin,30097,Northern Athletics Collegiate Conference,www.cuw.edu,www.cuwfalcons.com,WI,D-III,2024-25
9081,"Concordia University, St. Paul",12853,Northern Sun Intercollegiate Conference,www.csp.edu,cspbears.com/index.aspx,MN,D-II,2024-25
164,University of Connecticut,30184,Big East Conference,www.uconn.edu,www.uconnhuskies.com,CT,D-I,2024-25
163,Connecticut College,12817,New England Small College Athletic Conference,www.conncoll.edu,camelathletics.com/,CT,D-III,2024-25
8935,Converse University,4423,Conference Carolinas,www.converse.edu,govalkyries.com,SC,D-II,2024-25
165,Coppin State University,876,Mid-Eastern Athletic Conf.,www.coppin.edu,www.coppinstatesports.com,MD,D-I,2024-25
166,Cornell College,23119,Midwest Conference,www.cornellcollege.edu,www.cornellrams.com,IA,D-III,2024-25
167,Cornell University,865,The Ivy League,www.cornell.edu,www.cornellbigred.com,NY,D-I,2024-25
168,State University of New York at Cortland,917,State University of New York Athletic Conference,www.cortland.edu,www.cortland.edu/athletics,NY,D-III,2024-25
30111,Covenant College,30251,Collegiate Conference of the South,www.covenant.edu,athletics.covenant.edu/,GA,D-III,2024-25
