#,Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short
9,Riggs Guy,Fr.,OH,6-3,"Newport Beach, CA",Newport Harbor,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
13,Mikey Denver,Fr.,MB,6-6,"Santa Barbara, CA",Santa Barbara,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
22,Cebrian Carter,Jr.,OH,6-4,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
15,Ryan Williams,Jr.,OPP,6-6,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
13,Noy Fisher,Jr.,OPP,6-4,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
11,Riley Norman,Jr.,OH,6-0,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
8,Marcus Donchuanchom,Jr.,L,5-8,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
12,Johndiego White,Jr.,S,6-2,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
25,Nico Espinoza,Sr.,OPP,6-2,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
16,Dylan Foreman,Sr.,OH,6-5,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
5,Kaden Kavanaugh,So.,MB,6-2,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
1,Andrew Pak,So.,S,6-1,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
4,Logan Taylor,So.,S,6-0,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
23,Evan Erickson,So.,MB,6-5,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
10,Jordan Adejumo,So.,OH,5-11,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
6,Kyle Ownbey,So.,S,6-4,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
9,Ethan Makishima,Sr.,MB,6-6,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
3,Liam Popejoy,Fr.,MB,6-7,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
14,Adrian Parra,Fr.,MB,6-4,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
7,David Polster,Jr.,OH,6-2,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
19,Griffin Hotchkiss,Fr.,S,6-5,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
17,Caio Valente,Jr.,S,5-11,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
2,AJ Contreras,Fr.,OH,6-5,,,113,"University of California, Santa Cruz",DIII Independent,www.ucsc.edu/,www.goslugs.com/,CA,D-III,2024-25,UC Santa Cruz,DIII Independent
17,Brady Gudauskas,So.,OPP,6-4,"Naperville, IL",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
18,Wyatt Burch,So.,OPP,6-4,"Denver, CO",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
9,Gabriel Laughlin,Sr.,OPP,6-4,"Grand Rapids, MI",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
20,Cameron Dogger,So.,S,6-0,"Holland, MI",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
21,Nick Bultje,So.,MB,6-7,"Byron Center, MI",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
6,Sven Grimbergen,So.,OH,6-3,,,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
2,Parker Steele,Jr.,L,-,"Boscobel, WI",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
8,Ian Bird,Fr.,S,5-6,"Lakewood, CA",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
3,Gavin Barber,Fr.,S,6-2,"Lowell, MI",lowell,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
1,Bryan Diaz Contreras,So.,DB,6-0,,,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
5,Jake Davidson,So.,OH,5-11,"Lowell, MI",Lowell,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
7,Jackson Cook,Fr.,L,5-10,"Kuna, ID",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
10,Philip McClure,Fr.,OH,6-4,"W Des Moines, IA",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
11,Carter Nicholes,Fr.,MB,6-5,"Caldwell, ID",Vison Charter,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
15,Giovanni Serafini,Fr.,OH,6-5,,American School of Sao Paulo,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
19,Troy Jones,Fr.,OH,6-4,"Sparta, MI",Sparta,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
13,Ezekiel Jalan,Fr.,S,6-1,"Oconomowoc, WI",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
12,Alejandro Burns,Fr.,S,6-0,"Chandler, AZ",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
16,Bryce Broekhuizen,Fr.,OPP,6-8,"Kalamazoo, MI",,114,Calvin University,Midwest Collegiate Volleyball League,www.calvin.edu,calvinknights.com,MI,D-III,2024-25,Calvin,MCVL
21,Michael Yemm,Jr.,OH,6-0,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
7,Ty Martin,Jr.,OH,6-4,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
10,Grant Veldman,Jr.,OPP,6-9,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
9,Joe Kolwicz,Jr.,S,6-0,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
19,Ryan Morey,Jr.,S,6-7,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
15,Ryan Cholewinski,Sr.,MB,6-8,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
1,Jack McDonald,Sr.,OH,6-4,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
12,Kyle Stuersel,Sr.,MB,6-6,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
20,Zack Noland,Sr.,L,6-0,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
4,Justin Girodat,Sr.,S,6-4,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
23,Adrian Maciejewski,So.,MB,6-6,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
24,Ryan Kelly,So.,S,5-11,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
13,Ben Heise,So.,OPP,6-6,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
8,Justin Ische,So.,OH,6-2,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
14,Owen Otto,So.,OH,6-3,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
16,Josiah Flager-Hearan,Jr.,MB,6-5,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
17,Owen Hendricks,So.,OH,6-4,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
18,Ethan Sprague,So.,,-,,,121,Carthage College,College Conference of Illinois & Wisconsin,www.carthage.edu,athletics.carthage.edu,WI,D-III,2024-25,Carthage,CCIW
23,Alain Tamo-Noche,Sr.,OH,6-1,"Pittsburgh, PA",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
9,Tyrone Sands,Sr.,MH,6-4,"Nassau, Bahamas",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
5,Simon Falayi,So.,MB,6-5,"Columbus, OH",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
6,Tyrese Tuten,So.,OH,6-3,"Lakeland, FL",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
7,Toulmin Williams IV,So.,MB,6-4,"Orlando, FL",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
3,Jaedyn Harris,So.,OH,6-2,"Columbus, OH",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
0,Lucas Sanchez Contato,Fr.,L,5-11,"Uberlândia, Brazil",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
2,Benjamin Latham,Jr.,L,5-9,"Jacksonville, FL",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
21,Sebastian Russo,Fr.,OH,6-0,"Princeton, FL",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
22,Preston Smith,Fr.,OH,6-3,"Belize City, Belize",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
30,Kaleb Melendez,Fr.,OH,5-10,"Orlando, FL",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
95,Hayden Honchul,Fr.,MB,6-3,"Trenton, OH",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
1,Jonah Combs,Fr.,OH,6-3,"Trenton, OH",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
11,Bradley Patrick,Fr.,S,6-6,"Middletown, OH",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
14,Sean Ortiz,Fr.,OPP,6-4,"Orlando, FL",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
24,Jayden Durrah,So.,OH,6-2,"Seoul, South Korea",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
27,Christopher Casimyr,Fr.,OPP,6-4,"Jupiter, FL",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
4,Adam Sheppard,Jr.,S,6-2,"Kettering, OH",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
12,Nael Santana,Fr.,L/DS,5-10,"Georgetown, TX",,30049,Central State University,Southern Intercol. Ath. Conf.,www.centralstate.edu,www.maraudersports.com,OH,D-I,2024-25,Central St. (OH),SIAC
16,Paul Stommel,Sr.,S,6-3,"Cologne, Germany",,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
25,Korben Phillips,Sr.,MB,6-6,"Sterling, Australia",,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
11,Felipe Mendes,Sr.,OH,6-3,"Parana, Brazil",,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
4,Joonatan Salpakari,Jr.,L,6-3,"Kuopio, Finland",,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
1,Nathan Avitia,Sr.,S,6-0,,Millennium High School,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
6,Jake Smith,Sr.,OH,6-2,"Lewis Center, OH",Olentangy Orange High School,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
13,Curtis Raines,Sr.,L,5-9,"Ulysses, KS",Ulysses High School,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
14,Dennis Morgan,Sr.,MH,6-4,"Apopka, FL",Apopka High School,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
18,Brandon Horn-Bostel,Sr.,RS,6-6,"Culver City, CA",Culver City High School,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
9,Ras Jesse Delancy,Sr.,OH,6-8,,,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
27,Isak Joelsson,So.,S,6-2,"Sweden, Sweden",Swedish Junior National Team,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
7,Karl Lennert Klehm,So.,MB,6-7,"Germany, Germany",German Junior National Team,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
19,Krzysztof Buszek,So.,OH,6-2,"Poland, Poland",Al Sadd Club,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
29,Max Nissen,So.,OH,6-10,"Germany, Germany",German Junior National Team,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
31,Evens Edouard,Sr.,OPP,6-5,"Dominican Republic, Dominican Republic",,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
10,Rafael Chrcanovic,So.,OH,6-3,"Brazil, Brazil",Minas Tenis Club,1013,University of Charleston (West Virginia),Eastern Intercollegiate Volleyball Association,www.ucwv.edu,www.ucgoldeneagles.com,WV,D-III,2024-25,Charleston (WV),EIVA
8,Benjamin Shelestak,So.,OH,6-2,,,10972,Chatham University,Presidents' Athletic Conference,www.chatham.edu,www.gochathamcougars.com,PA,D-III,2024-25,Chatham,PAC
6,Evan Frank,So.,L,6-3,,,10972,Chatham University,Presidents' Athletic Conference,www.chatham.edu,www.gochathamcougars.com,PA,D-III,2024-25,Chatham,PAC
9,Tim McCabe,So.,RS,6-6,,,10972,Chatham University,Presidents' Athletic Conference,www.chatham.edu,www.gochathamcougars.com,PA,D-III,2024-25,Chatham,PAC
1,Tyler Mcknight,So.,OH,6-3,,,10972,Chatham University,Presidents' Athletic Conference,www.chatham.edu,www.gochathamcougars.com,PA,D-III,2024-25,Chatham,PAC
13,Luis Carrasquillo,So.,L,6-0,,,10972,Chatham University,Presidents' Athletic Conference,www.chatham.edu,www.gochathamcougars.com,PA,D-III,2024-25,Chatham,PAC
2,Alex Moncello,So.,S,5-8,,,10972,Chatham University,Presidents' Athletic Conference,www.chatham.edu,www.gochathamcougars.com,PA,D-III,2024-25,Chatham,PAC
4,Mannix McKaveney,So.,MH,5-11,,,10972,Chatham University,Presidents' Athletic Conference,www.chatham.edu,www.gochathamcougars.com,PA,D-III,2024-25,Chatham,PAC
12,Kyle Penn,So.,OH,6-0,,,10972,Chatham University,Presidents' Athletic Conference,www.chatham.edu,www.gochathamcougars.com,PA,D-III,2024-25,Chatham,PAC
15,Kendal Herbert,So.,OH,6-1,,,10972,Chatham University,Presidents' Athletic Conference,www.chatham.edu,www.gochathamcougars.com,PA,D-III,2024-25,Chatham,PAC
17,Kyrylo Vysotskyy,So.,S,6-0,,,480,The City College of New York,City University of New York Athletic Conference,www.ccny.cuny.edu,www.ccnyathletics.com,NY,D-III,2024-25,CCNY,CUNYAC
10,Ricky Li,Jr.,OH,5-8,,,480,The City College of New York,City University of New York Athletic Conference,www.ccny.cuny.edu,www.ccnyathletics.com,NY,D-III,2024-25,CCNY,CUNYAC
16,Cristian Canela,Jr.,MH,6-0,,,480,The City College of New York,City University of New York Athletic Conference,www.ccny.cuny.edu,www.ccnyathletics.com,NY,D-III,2024-25,CCNY,CUNYAC
