,date,match,results,box_score_url,div
128,08/30/2024,IIT (NACC) vs Luther (American Rivers),"[3-2] (19-25, 25-23, 19-25, 27-25, 15-10)",https://stats.ncaa.org/contests/5667376/box_score,D-III
129,08/30/2024,Concordia Wisconsin (NACC) vs Augustana (IL) (CCIW),"[0-3] (18-25, 17-25, 23-25)",https://stats.ncaa.org/contests/5667377/box_score,D-III
130,08/30/2024,St. Norbert (NACC) vs Minn.-Morris (UMAC),"[3-0] (25-23, 25-20, 25-14)",https://stats.ncaa.org/contests/5667378/box_score,D-III
131,08/30/2024,Hiram (NCAC) vs Grove City (PAC),"[0-3] (19-25, 18-25, 23-25)",https://stats.ncaa.org/contests/5667379/box_score,D-III
132,08/30/2024,Muskingum (OAC) vs Allegheny (PAC),"[2-3] (25-14, 18-25, 16-25, 25-17, 9-15)",https://stats.ncaa.org/contests/5667380/box_score,D-III
133,08/30/2024,Chatham (PAC) vs CWRU (UAA),"[0-3] (16-25, 22-25, 12-25)",https://stats.ncaa.org/contests/5667381/box_score,D-III
134,08/30/2024,Manchester (HCAC) vs John Carroll (OAC),"[0-3] (16-25, 17-25, 22-25)",https://stats.ncaa.org/contests/5667382/box_score,D-III
135,08/30/2024,Ohio Northern (OAC) vs Greenville (SLIAC),"[3-2] (23-25, 25-20, 23-25, 25-20, 15-7)",https://stats.ncaa.org/contests/5667383/box_score,D-III
136,08/30/2024,Westfield St. (MASCAC) vs Rivier (Great Northeast),"[1-3] (21-25, 25-14, 19-25, 21-25)",https://stats.ncaa.org/contests/5667384/box_score,D-III
137,08/30/2024,Marymount (VA) (Atlantic East) vs Geneva (PAC),"[3-0] (25-14, 25-19, 25-22)",https://stats.ncaa.org/contests/5667385/box_score,D-III
138,08/30/2024,Mary Washington (C2C) vs Kean (NJAC),"[3-1] (25-22, 17-25, 27-25, 25-16)",https://stats.ncaa.org/contests/5667386/box_score,D-III
139,08/30/2024,Clarkson (Liberty League) vs Pacific Lutheran (NWC),"[1-3] (19-25, 18-25, 25-17, 12-25)",https://stats.ncaa.org/contests/5667388/box_score,D-III
140,08/30/2024,Penn St.-Schuylkill (nan) vs Saint Elizabeth (United East),"[2-3] (25-23, 22-25, 26-24, 16-25, 4-15)",https://stats.ncaa.org/contests/5667389/box_score,D-III
141,08/30/2024,MCLA (MASCAC) vs Claremont-M-S (SCIAC),"[0-3] (9-25, 7-25, 10-25)",https://stats.ncaa.org/contests/5667391/box_score,D-III
142,08/30/2024,UW-River Falls (WIAC) vs La Verne (SCIAC),"[1-3] (13-25, 17-25, 25-21, 19-25)",https://stats.ncaa.org/contests/5667392/box_score,D-III
143,08/30/2024,Hardin-Simmons (ASC) vs Wash. & Lee (ODAC),"[1-3] (22-25, 23-25, 25-15, 24-26)",https://stats.ncaa.org/contests/5667393/box_score,D-III
144,08/30/2024,Salem (NC) (USA South) vs Averett (ODAC),"[3-1] (25-22, 25-17, 19-25, 25-21)",https://stats.ncaa.org/contests/5667398/box_score,D-III
145,08/30/2024,Bethany Lutheran (UMAC) vs Central (IA) (American Rivers),"[3-0] (25-14, 26-24, 24-16)",https://stats.ncaa.org/contests/5667405/box_score,D-III
146,08/30/2024,WPI (NEWMAC) vs Endicott (CNE),"[1-3] (32-30, 16-25, 26-28, 19-25)",https://stats.ncaa.org/contests/5667407/box_score,D-III
147,08/30/2024,Fontbonne (SLIAC) vs Grinnell (MWC),"[0-3] (15-25, 20-25, 19-25)",https://stats.ncaa.org/contests/5667414/box_score,D-III
148,08/30/2024,Gwynedd Mercy (Atlantic East) vs Arcadia (MACs),"[0-3] (20-25, 20-25, 15-25)",https://stats.ncaa.org/contests/5667416/box_score,D-III
149,08/30/2024,Mt. St. Mary (NY) (Skyline) vs SUNY Oneonta (SUNYAC),"[0-3] (15-25, 17-25, 15-25)",https://stats.ncaa.org/contests/5667418/box_score,D-III
150,08/30/2024,Shenandoah (ODAC) vs Dallas (SCAC),"[3-2] (25-20, 18-25, 17-25, 25-21, 15-9)",https://stats.ncaa.org/contests/5667424/box_score,D-III
151,08/30/2024,RIT (Liberty League) vs Saint Vincent (PAC),"[3-2] (25-27, 21-25, 25-21, 25-22, 15-9)",https://stats.ncaa.org/contests/5667427/box_score,D-III
152,08/30/2024,Capital (OAC) vs DePauw (NCAC),"[0-3] (16-25, 14-25, 21-25)",https://stats.ncaa.org/contests/5667428/box_score,D-III
153,08/30/2024,Hope (Michigan Intercol. Ath. Assn.) vs Northwestern-St. Paul (UMAC),"[3-0] (25-23, 25-13, 25-15)",https://stats.ncaa.org/contests/5667429/box_score,D-III
154,08/30/2024,La. Christian (nan) vs Centenary (LA) (SCAC),"[3-0] (25-15, 25-9, 25-9)",https://stats.ncaa.org/contests/5667431/box_score,D-III
155,08/30/2024,Cortland (SUNYAC) vs Trinity (TX) (SCAC),"[0-3] (14-25, 23-25, 22-25)",https://stats.ncaa.org/contests/5667432/box_score,D-III
156,08/30/2024,Lakeland (NACC) vs Austin (SCAC),"[0-3] (22-25, 21-25, 20-25)",https://stats.ncaa.org/contests/5667433/box_score,D-III
157,08/30/2024,Emmanuel (MA) (Great Northeast) vs Wentworth (CNE),"[1-3] (9-25, 12-25, 25-14, 21-25)",https://stats.ncaa.org/contests/5667434/box_score,D-III
