,date,match,results,box_score_url
1508,09/17/2024,Hawaii (Big West) vs UNLV (Mountain West),"[2-3] (15-25, 25-22, 16-25, 25-16, 13-15)",https://stats.ncaa.org/contests/5671451/box_score
1509,09/17/2024,Southern U. (SWAC) vs Nicholls (Southland),"[0-3] (21-25, 19-25, 22-25)",https://stats.ncaa.org/contests/5671453/box_score
1510,09/17/2024,Merrimack (MAAC) vs Bryant (America East),"[1-3] (18-25, 25-19, 18-25, 23-25)",https://stats.ncaa.org/contests/5671467/box_score
1511,09/17/2024,Florida St. (ACC) vs Florida (SEC),"[2-3] (23-25, 25-22, 25-21, 16-25, 6-15)",https://stats.ncaa.org/contests/5671473/box_score
1512,09/17/2024,Southern Ind. (OVC) vs Evansville (MVC),"[3-1] (22-25, 25-19, 25-17, 25-22)",https://stats.ncaa.org/contests/5671489/box_score
1513,09/17/2024,Marquette (Big East) vs Wisconsin (Big Ten),"[1-3] (25-22, 20-25, 16-25, 22-25)",https://stats.ncaa.org/contests/5695408/box_score
1514,09/17/2024,Washington (Big Ten) vs Oregon St. (Pac-12),"[3-1] (25-23, 22-25, 25-23, 25-15)",https://stats.ncaa.org/contests/5697067/box_score
1515,09/17/2024,Tenn. Southern (nan) vs Tennessee St. (OVC),"[0-3] (19-25, 11-25, 17-25)",https://stats.ncaa.org/contests/5730143/box_score
1516,09/18/2024,NIU (MAC) vs Northwestern (Big Ten),"[0-3] (16-25, 18-25, 18-25)",https://stats.ncaa.org/contests/5361883/box_score
1517,09/18/2024,Stanford (ACC) vs Nebraska (Big Ten),"[0-3] (17-25, 22-25, 14-25)",https://stats.ncaa.org/contests/5362369/box_score
